_id,151a
ge128696,Auvergne (Francie : kraj)
ge128697,Avignon (Francie)
ge128698,Pluhův Žďár (Česko)
ge128699,Aš (Česko)
ge128700,Aš (Česko : oblast)
ge128701,Babiččino údolí (Česko)
ge128702,"Babylon (Domažlice, Česko)"
ge128703,Babylón (zaniklé město)
ge128704,Bacău (Rumunsko)
ge128705,"Candelaria (Bogotá, Kolumbie)"
ge128707,Baeza (Španělsko)
ge128708,Bakov nad Jizerou (Česko)
ge128709,Bali (Malé Sundy : ostrov)
ge128710,Bangladéš
ge128711,Bansko (Bulharsko)
ge128712,Banská Bystrica (Slovensko)
ge128713,Banská Štiavnica (Slovensko)
ge128714,Baranja
ge128715,Baranowicze (Bělorusko)
ge128716,Barcelona (Španělsko)
ge128717,Bardejov (Slovensko)
ge128718,Myanma
ge128719,"Bartoušov (Jičíněves, Česko)"
ge128720,Bartošovice v Orlických horách (Česko)
ge128721,Basilej-venkov (Švýcarsko : kanton)
ge128722,Basilej (Švýcarsko)
ge128723,Baskicko (Španělsko)
ge128724,Bavorov (Česko)
ge128725,Bavorsko (Německo)
ge128726,Bavorsko severní (Německo)
ge128727,Bayreuth (Německo)
ge128728,Baška (Česko)
ge128729,Bačkovo (Bulharsko)
ge128730,Bechyně (Česko)
ge128731,Bechyně (Česko : oblast)
ge128732,Bedihošť (Česko)
ge128733,Bela Crkva (Srbsko)
ge128734,Belfast (Severní Irsko)
ge128735,Belgie
ge128736,Belianské Tatry (Slovensko : pohoří)
ge128737,Belize
ge128738,Bell Island (Newfoundland a Labrador : ostrov)
ge128739,Benecko (Česko)
ge128740,Benevento (Itálie)
ge128741,Benešov nad Ploučnicí (Česko)
ge128742,Benešov nad Černou (Česko)
ge128743,Bengálsko západní (Indie)
ge128744,Benin
ge128745,Benátky (Itálie)
ge128746,Benátky nad Jizerou (Česko)
ge128747,Benátky nad Jizerou (Česko : oblast)
ge128748,Victoria (Seychely)
ge128749,Berlín (Německo)
ge128750,Berlín (Německo : oblast)
ge128751,Bermudy (Velká Británie : souostroví)
ge128752,Bern (Švýcarsko)
ge128753,Bernartice nad Odrou (Česko)
ge128754,Berounka (Česko : řeka)
ge128755,Berry (Francie)
ge128756,Beskydy (pohoří)
ge128757,Lima (Peru)
ge128758,Bezdrev (Česko : rybník)
ge128759,Bezdružice (Česko : oblast)
ge128760,Bečov nad Teplou (Česko)
ge128761,Bečov nad Teplou (Česko : oblast)
ge128762,Bečva (Česko : řeka : oblast)
ge128763,Bielsko-Biała (Polsko)
ge128764,Bieruń (Polsko)
ge128765,Bitola (Makedonie)
ge128766,Blansko (Česko)
ge128767,Přední Pomořansko (Německo)
ge128768,Blansko (Česko : oblast)
ge128769,Meklenbursko-Přední Pomořansko (Německo)
ge128770,Zadní Pomořansko (Polsko)
