place,QID
Katovicích,Q1088443
Kežmaroku,Q327977
Klabavě u Rokycan,Q2524121
Kosově Hoře u Sedlčan,Q1785083
Košťálově,Q1700487
Kožlanech u Kralovic,Q1785887
Krouně,Q1426454
Křemži,Q651930
Křivoklátu,Q1597372
Kunčicích pod Ondřejníkem,Q1792757
Kuželově,Q1571009
Landshutu,Q3974
Leidenu,Q43631
Leningradě,Q656
Letovicích u Blanska,Q652710
Libáni u Jičína,Q388235
Libčicích nad Vltavou,Q158456
Libiši,Q2696901
Loučovicích,Q1584350
Lovani,Q118958
Lulči,Q612708
Malé Skále,Q1888048
Mastníku u Třebíče,Q166045
Měříně u Velkého Meziříčí,Q1959531
Metylovicích,Q677593
Modřanech,Q3490542
Mohelně,Q1942869
Mostaru,Q93347
Mukačevě,Q146456
Nasavrkách u Chrudimi,Q985047
Němčicích na Hané,Q2007259
Němčicích u Holešova,Q1475745
Německém,Q922586
Nice,Q33959
Nosislavi,Q2001637
Nové Bani,Q268463
Novém Hrádku,Q2003335
Nových Dvorech u Kutné Hory,Q2003236
Nových Hradech u Vysokého Mýta,Q1850618
Nových Zámkoch,Q276362
Obecnici u Příbrami,Q2255173
Odrlicích u Litovle,Q12042232
Okříškách,Q2703812
Olešné u Rakovníka,Q1981023
Olešnici na Moravě,Q1019349
Olomučanech,Q1620138
Orlíku nad Vltavou,Q1641768
Oslu,Q585
Oxfordu,Q34217
Pačlavicích u Kroměříže,Q950925
Panenském Týnci,Q2049376
Pekingu,Q956
Peruci u Loun,Q1735575
Philadelphii,Q1345
Pištíně,Q1294502
Pitíně,Q1902771
Plhově u Sobotky,Q12045618
Poběžovicích,Q1756960
Pohoří u Opočna,Q731086
Poltavě,Q156747
Popradě,Q26393
Poříčanech,Q2063995
Postupicích,Q950804
Považské Bystrici,Q319787
Povážské Bystrici,Q319787
Pravčicích,Q2352929
Prievidze,Q208750
Prušánkách,Q2482823
Předklášteří,Q1268228
Pšovce u Mělníka,Q10817407
Putimi,Q1933223
Račerovicích u Třebíče,Q12048945
Rakvicích,Q1023856
